REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
959,Mast Brothers,U.S.A.,2012,Blend,"Shake Shack, Peru, Mad., Dom. Rep.",73%,"2- B,S","gritty, fruit, tart, rich",3.5
1359,Mast Brothers,U.S.A.,2014,Blend,"French Laundry 20th Anniversary, Peru, Belize",75%,"2- B,S","tart, deep choco",3.75
1450,Mast Brothers,U.S.A.,2015,Guatemala,Guatemala,76%,"2- B,S","mild bitter, citrus, intense",3
1450,Mast Brothers,U.S.A.,2015,Tanzania,Tanzania,74%,"2- B,S","green, vegetal, mild spice",3.25
2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70%,"2- B,S","melon, late hammy",3.25
1367,Maverick,U.S.A.,2014,Belize,Maya Mountain,70%,"2- B,S","heavy roast, smoke",3.25
1367,Maverick,U.S.A.,2014,Dominican Republic,Elvesia,70%,"2- B,S","roasty, coffee",3.25
1430,Maverick,U.S.A.,2014,Peru,Tumbes,82%,"2- B,S","intense, burnt, bitter, spice",3.25
1728,Mayacama,U.S.A.,2016,Dominican Republic,Hispaniola,72%,"2- B,S","gritty, sweet, earthy",3
2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70%,"2- B,S","smooth, vegetal",3.5
1287,Meadowlands,U.S.A.,2014,Bolivia,Bolivia,70%,"2- B,S","pungent, off",2.5
1287,Meadowlands,U.S.A.,2014,Venezuela,Venezuela,70%,"2- B,S","molasses, sweet, choco",2.75
1287,Meadowlands,U.S.A.,2014,Belize,Belize,70%,"2- B,S","spicy, metallic, molasses",3
1291,Meadowlands,U.S.A.,2014,Nicaragua,"Nicaragua, w/ inbs",70%,"2- B,S","fatty, sligthly bland, earthy",3
1291,Meadowlands,U.S.A.,2014,Dominican Republic,Dominican Republic,70%,"2- B,S","high roast, nutty, deep choco",3.5
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70%,"2- B,S","roasty, rich cocoa",3.5
2214,Milton,Japan,2018,Brazil,Bahia,70%,"2- B,S","intense, sour, hammy",3
2214,Milton,Japan,2018,Vietnam,Ben Tre,70%,"2- B,S","cocounut, late sour",3.25
2210,Milton,Japan,2018,Madagascar,Ambanja,70%,"2- B,S","cocoa, mild pear, sticky",3.5
2214,Milton,Japan,2018,Peru,"Piura Gran Blanco, Sisyu & Kiriyana Phoenix",70%,"2- B,S","grape, thick, chewy",3.75
1920,Minimal,Japan,2016,Haiti,"Acul-du-Nord, 2015",70%,"2- B,S","gritty, sweet, earty",3.5
1960,Mirzam,U.A.E.,2017,Papua New Guinea,Papua New Guinea,72%,"2- B,S","few grits, intense smoke",3
1960,Mirzam,U.A.E.,2017,Madagascar,Madagascar,72%,"2- B,S","tangy, roasty, ham",3.25
1960,Mirzam,U.A.E.,2017,Vietnam,Vietnam,65%,"2- B,S","slight grainy, roasty, spicy",3.5
1626,Mission,Brazil,2015,Brazil,"Bahia, Fazenda Venturosa",70%,"2- B,S","coarse, smokey, citrus",3.5
1880,Mission,Brazil,2016,Brazil,"Fazenda Camboa, Bahia",75%,"2- B,S","sticky, blackberry, acidic",3.75
2170,Moka Origins,U.S.A.,2018,Cameroon,"Kombone Village, 2018 Harvest",68%,"2- B,S",earthy,3
2338,Moka Origins,U.S.A.,2019,Dominican Republic,Zorzal Estate,70%,"2- B,S","dark berry, earthy",3.5
2450,Moka Origins,U.S.A.,2019,Tanzania,Kokoa Kamili,72%,"2- B,S","cocoa, fig, classic",3.75
1618,Molucca,U.S.A.,2015,Indonesia,Indonesia,70%,"2- B,S","intense, smokey, floral",2.75
1614,Molucca,U.S.A.,2015,Dominican Republic,La Red,70%,"2- B,S","overly intense, tart, red fruit",3
1618,Molucca,U.S.A.,2015,Peru,Peru,70%,"2- B,S","dry, nutty, fruity",3.25
661,Momotombo,Nicaragua,2011,Nicaragua,Matagalpa,70%,"2- B,S","unrefined, hay, sweet",2.75
661,Momotombo,Nicaragua,2011,Nicaragua,Mombacho,70%,"2- B,S","unrefined, bright berry, sweet",2.75
1812,Monarque,Canada,2016,Dominican Republic,Oko Caribe,72%,"2- B,S","earthy, spicy, cocoa",3.5
2542,Monsoon,U.S.A.,2021,Ecuador,"Esmeraldas, batch 9",75%,"2- B,S","intense, floral, cocoa,long lasting",3.75
2190,Musee du Chocolat Theobroma,Japan,2018,Venezuela,Chuao,70%,"2- B,S","Fruity, Roasty",3.5
1896,Mutari,U.S.A.,2016,Dominican Republic,"Oko Caribe, batch 1 SRB",71%,"2- B,S","gritty, sweet, earthy",2.75
1896,Mutari,U.S.A.,2016,Tanzania,"Kokoa Kamili, batch 1 SRB",68%,"2- B,S","dry, earthy, atypical",2.75
1900,Mutari,U.S.A.,2016,Madagascar,"Ambanja, batch 1 SRB",68%,"2- B,S","sweet, molasses, gritty",2.75
1900,Mutari,U.S.A.,2016,Vietnam,"Tien Giang, batch 1 SRB",80%,"2- B,S","gritty, tart, molasses",3
1403,Nathan Miller,U.S.A.,2014,Peru,Peru,72%,"2- B,S","metallic, medicinal, pungent",2.25
1403,Nathan Miller,U.S.A.,2014,Madagascar,Madagascar,73.50%,"2- B,S","intense, pungent, sour fruit",2.5
2060,Nearynogs,Ireland,2018,Dominican Republic,"Hispaniola, batch 170308",70%,"2- B,S","dry, sandy, sweet, acidic",3.25
1526,Nibble,U.S.A.,2015,Venezuela,Patanemo,72%,"2- B,S","molasses, nut, roasty, bitter",2.25
1526,Nibble,U.S.A.,2015,Dominican Republic,Elvesia P.,72%,"2- B,S","molasses, rum, tea",2.75
1526,Nibble,U.S.A.,2015,Madagascar,"Ambanja, Sambirano Valley",72%,"2- B,S","molasses, bright fruit",3
1526,Nibble,U.S.A.,2015,Peru,Tumbes,72%,"2- B,S","molasses, malt, raisin",3
2134,Nibble,U.S.A.,2018,Brazil,Bahia,72%,"2- B,S",notes from sugar,3
935,Nova Monda,Nicaragua,2012,Nicaragua,"La Dalia, Matagalpa,cacao Bisesto,green label",75%,"2- B,S","fatty, honey, earthy",2.75
931,Nova Monda,Nicaragua,2012,Nicaragua,"La Patriota, cacao Indio, purple label",70%,"2- B,S","woody, coffee,roasted cherry",3
935,Nova Monda,Nicaragua,2012,Ecuador,"Punta Galera, cacao Nacional, gold label",80%,"2- B,S","sandy, strawberries",3.25
1458,Nuance,U.S.A.,2015,Ecuador,"Ecuador, 2013",70%,"2- B,S","earthy, roasted nuts",2.75
1458,Nuance,U.S.A.,2015,Venezuela,"Canoabo, 2013, batch 2642",70%,"2- B,S","intense, slightly burnt",3
1458,Nuance,U.S.A.,2015,Madagascar,"Sambirano Valley, 2012, batch 3062",70%,"2- B,S","fruity, sour, high astringent",3.5
1454,Nuance,U.S.A.,2015,Ghana,"Ghana, 2013, batch 3581",70%,"2- B,S","rich, cherry, smoke, cocoa",3.75
1470,Nuance,U.S.A.,2015,Dominican Republic,La Red,70%,"2- B,S","rich, mild smoke, red fruit",3.75
1638,Obolo,Chile,2015,Peru,"Pangoa, w/ nibs",70%,"2- B,S","creamy, roasty, mild grape",3.75
2386,Obolo,Chile,2019,Peru,"Pangoa, 2018, batch 1584 - E",70%,"2- B,S","intense grapes, sweet cocoa",3.75
1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Devotion, batch 96, gogol naru",66%,"2- B,S","smoke, sour fruit, hammy",2.75
1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Revolution, WAG1",70%,"2- B,S","smoke, sour fruit, hammy",3
1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Voodoo, batch 95",88%,"2- B,S","intense, bitter, sour, smokey",3.25
1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Nib Bar, WAG1",74%,"2- B,S","smokey, intense, coffee",3.5
1760,Ocho,New Zealand,2016,Samoa,Sang Yum Coop,70%,"2- B,S","cocoa, roasty, nutty",3.5
2490,Odyssey,U.S.A.,2020,Guatemala,Cahabon,70%,"2- B,S","damp woody, leather, cocoa",3
2494,Odyssey,U.S.A.,2020,Tanzania,Kokoa Kamili,70%,"2- B,S","sour banana, muted",3
2494,Odyssey,U.S.A.,2020,Uganda,Bundibugyo,70%,"2- B,S","dominant hazelnut, fudge",3.25
2494,Odyssey,U.S.A.,2020,India,Idukki Hills,70%,"2- B,S","intense tart, sourness",3.25
2498,Odyssey,U.S.A.,2020,Colombia,Arhuaca,70%,"2- B,S","walnut, tobacco, grassy",3.25
2494,Odyssey,U.S.A.,2020,Bolivia,"Tranquilidad, Wild",70%,"2- B,S","silky smooth, cherry, cocoa",3.75
2498,Odyssey,U.S.A.,2020,Vietnam,Ben Tre,70%,"2- B,S","complex,cranberry,malt, vanilla",3.75
2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,80%,"2- B,S","berries, burnt, rubbery, off",3
2582,Odyssey,U.S.A.,2021,U.S.A.,Hawaii Kona,70%,"2- B,S","burnt fudge, nutty",3.25
2696,Odyssey,U.S.A.,2021,Peru,Ucayali,70%,"2- B,S","deep cocoa, cherry, slight ashy",3.25
2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,70%,"2- B,S","strong start, fruity, acidic",3.5
2566,Odyssey,U.S.A.,2021,Haiti,Pisa,70%,"2- B,S","blackberry, tang",3.75
761,Oialla by Bojessen (Malmo),Germany,2011,Bolivia,"Sylvestre, Oialla",70%,"2- B,S","rich cocoa, one dimensional",3.5
2514,Or Dubh,U.S.A.,2020,Madagascar,"Sambirano, Northern Ambanja, 2018 Harvest",70%,"2- B,S","sweet, tart, raisin, sour ending",3.25
2518,Or Dubh,U.S.A.,2020,Vietnam,"Ben Tre, Mekond Delta, 2018 H.",70%,"2- B,S","roast dominates,spicy,astringent",3.25
2518,Or Dubh,U.S.A.,2020,Tanzania,"Kokoa Kamili, Kilombero Valley, 2018 H.",70%,"2- B,S","sweet edge, dried fruit, lemon",3.5
141,Askinosie,U.S.A.,2007,Mexico,Xoconusco,75%,"2- B,S","leather, black licorice, off",2.5
1442,Original Beans (Felchlin),Switzerland,2014,Blend,"Grand Cru Blend No.1, 5 yr. Anniversary Ed",80%,"2- B,S","creamy, mild bitter, coffee",3.25
175,Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,70%,"2- B,S","smooth, astringent, cocoa",3
331,Askinosie,U.S.A.,2009,Philippines,Davao,77%,"2- B,S","strawberries, mild tart, roasty",3.75
1239,Palette de Bine,Canada,2014,Bolivia,"Alto Beni, Palos Blancos",72%,"2- B,S","vinegar, sour",2.75
1303,Palette de Bine,Canada,2014,Ecuador,"Camino Verde P., Balao, Guayas",75%,"2- B,S","earthy, nutty, black pepper",2.75
1399,Palette de Bine,Canada,2014,Blend,Duo- Gran Couva & Camino Verde,75%,"2- B,S","intense floral, slight woody",3.5
1239,Palette de Bine,Canada,2014,Madagascar,Sambirano,78%,"2- B,S","red fruit, intense, bright",3.75
1399,Palette de Bine,Canada,2014,Trinidad,Gran Couva,70%,"2- B,S","mellow, fruity, brownie",3.75
1570,Palette de Bine,Canada,2015,Bolivia,"Silvestre, La Paz, Beni",70%,"2- B,S","slow, sweet, spicy",3.25
1574,Palette de Bine,Canada,2015,Tanzania,Kokoa Kamili,72%,"2- B,S","rich cocoa, dried fruit",3.5
647,Askinosie,U.S.A.,2011,Tanzania,"Tenende, Uwate",72%,"2- B,S","creamy, woody, cocoa",3.75
1574,Palette de Bine,Canada,2015,Vietnam,Lam Dong,72%,"2- B,S","cocoa, melon, dairy",3.75
1720,Palette de Bine,Canada,2016,Guatemala,Lachua,70%,"2- B,S","fruity, off rubber",2.75
1720,Palette de Bine,Canada,2016,Belize,Maya Mtn,72%,"2- B,S","strawberry, savory",3
1992,Palette de Bine,Canada,2017,Peru,Maranon,72%,"2- B,S","grape, pungent, off sour",2.75
2000,Palette de Bine,Canada,2017,Dominican Republic,Dominican Republic,75%,"2- B,S","creamy, burnt rubber, off",2.75
1992,Palette de Bine,Canada,2017,Haiti,Pisa,70%,"2- B,S","sticky, bold, nutty, fig",3.5
2286,Palette de Bine,Canada,2019,Peru,"Maranon, batch 28",70%,"2- B,S","intense spicy, floral",3.5
1860,Pangea,Spain,2016,Fiji,Matasawalevu,76%,"2- B,S","intense, bitter, spicy",3
2334,Pangea,Spain,2019,Bolivia,"Alto Beni, batch 100518",76%,"2- B,S","harsh, tobacco, roasty",2.75
2334,Pangea,Spain,2019,Philippines,South Cotabato,76%,"2- B,S","burnt caramel, coffee",3
661,Askinosie,U.S.A.,2011,Honduras,Cortes,70%,"2- B,S","grapes, woody, roasty",3.75
2298,Pangea,Spain,2019,Belize,Maya Mtn,75%,"2- B,S","fig, sour, rubbery",3.25
2298,Pangea,Spain,2019,Madagascar,Sambirano,76%,"2- B,S","fruit, sour, roasty",3.25
2302,Pangea,Spain,2019,Dominican Republic,Caribe,76%,"2- B,S","cocoa, earthy, roasty",3.25
2302,Pangea,Spain,2019,Peru,Chilique,71%,"2- B,S","sandy, fruit, cocoa, sour",3.5
1251,Parliament,U.S.A.,2014,Bolivia,Alto Beni,70%,"2- B,S","gritty, woody, acidic",3
1255,Parliament,U.S.A.,2014,Dominican Republic,"Oko Caribe, batch 4",70%,"2- B,S","mild spice, grapes",3.5
1542,Parliament,U.S.A.,2015,Guatemala,"Lachua, Q'egchi families",70%,"2- B,S","intense, blackberry, acidic",3.5
1856,Parliament,U.S.A.,2016,Tanzania,Kilombero Valley,70%,"2- B,S","sour, earthy, roasty",3.25
1315,Pitch Dark,U.S.A.,2014,Fiji,Namau Village,73%,"2- B,S","intense smoke, medicinal",2.5
1311,Pitch Dark,U.S.A.,2014,Madagascar,Akesson Estate,73%,"2- B,S","intense, dried fruit, roasty",3.25
1319,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Fruity""",73%,"2- B,S","tobacco, woody, rum",3.25
1319,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Floral""",73%,"2- B,S","intense, floral, leather",3.5
1506,Pitch Dark,U.S.A.,2015,Nicaragua,Johe,80%,"2- B,S","dry, sandy, earthy, leathery",2.75
1510,Pitch Dark,U.S.A.,2015,Nicaragua,Rugoso,80%,"2- B,S","chunky, dairy, nutty, rich",3.25
607,Potomac,U.S.A.,2010,Costa Rica,"Upala, Batch 12",82%,"2- B,S","bright red fruit,smoke,powerful",3.75
789,Potomac,U.S.A.,2011,Peru,"San Martin, Amazonian Highlands",70%,"2- B,S","grassy, earthy",2.75
654,Potomac,U.S.A.,2011,Costa Rica,"Upala, Batch 18",70%,"2- B,S","fudgey, mild smoke",3
647,Potomac,U.S.A.,2011,Costa Rica,Upala w/ nibs,70%,"2- B,S","grass,chewy,nibs add bitterness",3.5
789,Potomac,U.S.A.,2011,Brazil,Bahia,70%,"2- B,S","mint, candied",3.5
1387,Potomac,U.S.A.,2014,Venezuela,"Cuyagua, 2013",70%,"2- B,S","mildy nutty, cocoa, spice",3.75
1820,Potomac,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte Province, 2016 H.",70%,"2- B,S","dense, rich, nuanced",3.75
2672,Avanaa,Canada,2021,Colombia,Tumaco,70%,"2- B,S","chemical, spice, earthy",2.5
2076,Potomac,U.S.A.,2018,Colombia,Tumaco,70%,"2- B,S","marshmallow, distinquished",4
2538,Potomac,U.S.A.,2021,Uganda,"Semuliki Forest, batch 20035",75%,"2- B,S","light cocoa, dairy,faint cinnamon",3.75
2622,Potomac,U.S.A.,2021,Peru,"Ucayali, batch 200105",70%,"2- B,S","anise, cocoa, dried fruit",3.75
2672,Avanaa,Canada,2021,Dominican Republic,Zorzal,70%,"2- B,S","intense, sour tart plum, rubber",3
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70%,"2- B,S","chalky, intense, chemical",2.5
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70%,"2- B,S","chalky, fragrant, then off",2.5
2318,Public Chocolatory,South Korea,2019,Vietnam,Vietnam,70%,"2- B,S","fruit, tart, fertilzer",2.75
1956,Pump Street Bakery,U.K.,2017,Jamaica,"Bachelor's Hall, batch 6911",75%,"2- B,S","sticky, mild, hay, honey",3.75
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70%,"2- B,S","unrefined, flat, grassy",3
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80%,"2- B,S","coarse, smokey, metallic",3.25
1474,Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70%,"2- B,S","smoke, ham, papaya",3.5
1558,Ranger,U.S.A.,2015,Peru,"San Martin, Batch 2",70%,"2- B,S","oily, intense vinegar",2.5
1562,Ranger,U.S.A.,2015,Peru,"Chulucanas, Batch 1",80%,"2- B,S","fruity, melon",3.25
2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70%,"2- B,S","bland, sugary, large grits",3
1562,Ranger,U.S.A.,2015,Peru,"Tumbes, Batch 2",73%,"2- B,S","dried fruit, raisins, nutty",3.5
2668,Ranger,U.S.A.,2021,Mexico,Soconusco,70%,"2- B,S","fruit, yogurt, astringent",3.25
745,Ritual,U.S.A.,2011,Costa Rica,Costa Rica,75%,"2- B,S","dark berry, woody,astringent",3.5
967,Ritual,U.S.A.,2012,Ecuador,"Camino Verde P., 2012, Balao, Guayas, batch 1",75%,"2- B,S","dried fruit, nut, bitter, roasty",3.25
979,Ritual,U.S.A.,2012,Trinidad,"Gran Couva, 2012 harvest, batch 001",75%,"2- B,S","orange, heavy roast",3.5
891,Ritual,U.S.A.,2012,Madagascar,"Sambirano, 2011 harvest, batch 1",75%,"2- B,S","dark berry, tropical, nutty",4
1181,Ritual,U.S.A.,2013,Peru,"Maranon, Cajamarca, batch 002",75%,"2- B,S","intense, roasty, spice",3
1089,Ritual,U.S.A.,2013,Belize,"Toledo District, Maya, batch 001",75%,"2- B,S","thick, slow, pure",3.75
1466,Ritual,U.S.A.,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2014, b. 001",85%,"2- B,S","mild bitter, woody, bourbon",3.5
1466,Ritual,U.S.A.,2015,Blend,"Mid Mountain, 2014, batch 002",70%,"2- B,S","sticky, woody",3.5
1860,Ritual,U.S.A.,2016,Ecuador,"Camino Verde P., Balao, 2015 harvest, batch8",75%,"2- B,S","floral, bourbon, balanced",3.75
2282,Ritual,U.S.A.,2019,Nicaragua,"La Colonia, Enliven Cacao",70%,"2- B,S","complex, honey, fruit, nut",3.5
2418,Ritual,U.S.A.,2019,Trinidad,"Jagassar Estate, Moruga Region, microlot",80%,"2- B,S","rich brownie, dried fruit",3.5
1844,Roasting Masters,South Korea,2016,Costa Rica,"La Dorado, light roast",70%,"2- B,S","dried fruit, intense",3.25
1844,Roasting Masters,South Korea,2016,Costa Rica,"Tapanti, light roast",70%,"2- B,S","fatty, honey, slight sour",3.25
1844,Roasting Masters,South Korea,2016,Costa Rica,Maleku,70%,"2- B,S","roasty, coffee, intense",3.25
213,Rogue,U.S.A.,2008,Dominican Republic,"Hispaniola, 2008",70%,"2- B,S","nutty, earthy, mild off note",2.75
213,Rogue,U.S.A.,2008,Jamaica,Jamaica,70%,"2- B,S","sandy, heavy roast, woody",2.75
213,Rogue,U.S.A.,2008,Madagascar,"Sambirano, 2008",70%,"2- B,S","raisins, sour, roasty",3
213,Rogue,U.S.A.,2008,Trinidad,Trinidad,70%,"2- B,S","dry, honey, roasty",3
327,Rogue,U.S.A.,2009,Venezuela,Rio Caribe,70%,"2- B,S","mint, sweet spices",3.5
565,Rogue,U.S.A.,2010,Peru,Piura,75%,"2- B,S","smooth,intense,fruit, complex",3.75
793,Rogue,U.S.A.,2011,Bolivia,"Silvestre, Batch 1, 2011",75%,"2- B,S","rich brownie, roasty, sour",3
979,Rogue,U.S.A.,2012,Ecuador,"Camino Verde P., Balao, Guayas",75%,"2- B,S","floral, bourbon, mocha",3.75
1038,Rogue,U.S.A.,2013,Madagascar,"Akessons Estate, Sambirano, 2013",70%,"2- B,S","creamy, heavy roast, citrus",3.5
1081,Rogue,U.S.A.,2013,Dominican Republic,"Hispaniola, 2013",70%,"2- B,S","sticky, earthy, smokey",3.5
1193,Rogue,U.S.A.,2013,Jamaica,"Bachelor's Hall E., St. Thomas Parish, batch 1",75%,"2- B,S","intense, dark berry, spice",3.75
1081,Rogue,U.S.A.,2013,Bolivia,"Silvestre, Batch 7, 2013",75%,"2- B,S","smooth, banana, tart, roasty",4
1209,Rogue,U.S.A.,2014,Venezuela,Porcelana,80%,"2- B,S","red fruit, intense, earthy",3.75
1566,Rogue,U.S.A.,2015,Bolivia,"Tranquilidad, Batch 1",75%,"2- B,S","roasty, dried fruit, sour",3.25
1446,Rogue,U.S.A.,2015,Venezuela,"Caranero, Choc. Garage Exclusive",70%,"2- B,S","deep, rich, nutty, roasty",3.75
1748,Rogue,U.S.A.,2016,Honduras,"La Masica, Batch 1, FHIA Research Center",75%,"2- B,S","robust, tart, roasty",3.75
983,Bar Au Chocolat,U.S.A.,2012,Dominican Republic,Duarte Province,70%,"2- B,S","complex,black pepper,coffee",3.25
2668,Ruket,Italy,2021,Indonesia,"Sumba, lot 02IN",77%,"2- B,S","mild smoke, tart, spice, harsh",2.75
2660,Ruket,Italy,2021,Tanzania,Kokoa Kamili. Lot 73T,72%,"2- B,S","clean, pure cocoa, cherry, gritty",3.5
983,Bar Au Chocolat,U.S.A.,2012,Mexico,Chiapas,70%,"2- B,S","molasses,toffee,coffee grounds",3.5
983,Bar Au Chocolat,U.S.A.,2012,Madagascar,Sambirano,70%,"2- B,S","raspberry, mild sour",3.75
1295,Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,70%,"2- B,S","creamy, rounded, orange",4
1554,Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,70%,"2- B,S","intense, smokey, dried fruit",3.5
1658,Seaforth,U.K.,2015,Dominican Republic,Dominican Republic,70%,"2- B,S","rustic, vegetal, earthy",2.75
1658,Seaforth,U.K.,2015,Grenada,Grenada,70%,"2- B,S","off, sweet, orange, rubber",2.75
2104,Seahorse,U.S.A.,2018,Honduras,Wampusirpi,70%,"2- B,S","dry, earthy, surface mark",2.75
2108,Seahorse,U.S.A.,2018,Dominican Republic,Zorzal,70%,"2- B,S","earthy, mild fruit, sticky",3
2104,Seahorse,U.S.A.,2018,Tanzania,Kokoa Kamili,70%,"2- B,S","sticky, cherry, cocoa",3.25
2446,Seahorse,U.S.A.,2019,Fiji,Matasawalevu,70%,"2- B,S","sharp, raw, metallic",2.75
2446,Seahorse,U.S.A.,2019,Uganda,Semuliki Forest,70%,"2- B,S","cocoa, roasty, sticky",3.5
2660,Seahorse,U.S.A.,2021,Trinidad,Gewan Gangaram,75%,"2- B,S","sl roasty, woody, melon, spicy",3.25
1980,Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",72%,"2- B,S","slightly dry, cocoa, berry",3.5
2590,Seahorse,U.S.A.,2021,Peru,Ucayali,70%,"2- B,S","orange, fig, cocoa",3.5
2594,Seahorse,U.S.A.,2021,Vietnam,Ben Tre,70%,"2- B,S",blueberry & cocoa dominate,3.5
2660,Seahorse,U.S.A.,2021,India,Anamalai,70%,"2- B,S","sticky, dark berry, roasty edge",3.5
1335,Shark Mountain,U.S.A.,2014,Ecuador,Ecuador,75%,"2- B,S","coffee, nutty",3
1335,Shark Mountain,U.S.A.,2014,Belize,"Belize, 2013",72%,"2- B,S","fruity, blueberry",3.25
1466,Shark Mountain,U.S.A.,2015,Venezuela,Cuyagua,77%,"2- B,S","smoked ham, tangy, berry",2.75
1450,Shark Mountain,U.S.A.,2015,Jamaica,Jamaica,72%,"2- B,S","sticky, dried fruit, smoke",3.25
1980,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,80%,"2- B,S","intense, tangy, alcohol",3.5
1450,Shark Mountain,U.S.A.,2015,Papua New Guinea,Papua New Guinea,73%,"2- B,S","chewy, smoke, fruit, cocoa",3.5
1466,Shark Mountain,U.S.A.,2015,Dominican Republic,ROIG,74%,"2- B,S","grapes, tangy, cocoa",3.5
1614,Sirene,Canada,2015,Guatemala,Lachua w/ cane sugar,73%,"2- B,S","waxy, earthy, cocoa, roasty",3
1650,Sirene,Canada,2015,Haiti,Pisa,73%,"2- B,S","oily, medium roasted cocoa",3.25
1788,Sirene,Canada,2016,Bolivia,Wild Bolivia,73%,"2- B,S","sticky, raisins, fudgey",3.5
1856,Sirene,Canada,2016,Tanzania,Kokoa Kamili Coop,73%,"2- B,S","basic cocoa, gateway",3.5
1860,Sirene,Canada,2016,Ecuador,"Esmeraldas, Salazar Farm",73%,"2- B,S","rich cocoa, spicy",3.75
1996,Sirene,Canada,2017,Peru,Tingo Maria,73%,"2- B,S","caramel, anise, dried fruit",3.75
1518,Sol Cacao,U.S.A.,2015,Madagascar,Madagascar,72%,"2- B,S","tangy, sour, intense",3
1812,Sol Cacao,U.S.A.,2016,Ecuador,"Ecuador, Batch 1",70%,"2- B,S","intense, simple, floral, earthy",3.5
1840,Solkiki,U.K.,2016,Dominican Republic,"Castillo, Hispaniola, unroasted",85%,"2- B,S","sticky, hammy, bitter",2.75
1840,Solkiki,U.K.,2016,Peru,"Maranon, Fortunato No. 4",68%,"2- B,S","sticky, sandy, pungent",2.75
1792,Solomons Gold,New Zealand,2016,Solomon Islands,Solomon Island,70%,"2- B,S","sweet, roasty, spicy",3.25
1796,Solomons Gold,New Zealand,2016,Solomon Islands,Solomon Island w/ nibs,75%,"2- B,S","spicy, roasted, fresh nibs",3.25
1157,Solstice,U.S.A.,2013,Madagascar,Sambirano,70%,"2- B,S","dry, molasses, sour",3
1157,Solstice,U.S.A.,2013,Venezuela,Amazonas,70%,"2- B,S","dairy, cheese, molasses",3
1161,Solstice,U.S.A.,2013,Bolivia,Bolivia,70%,"2- B,S","intense, leathery, cocoa",3.25
1367,Somerville,U.S.A.,2014,Nicaragua,Nicaragua,70%,"2- B,S","earthy, dried fruit, complex",3.25
1395,Somerville,U.S.A.,2014,U.S.A.,"Hawai'i Island, Big Island",70%,"2- B,S","intense, tannic, choco, earthy",3.5
1932,Soul,Canada,2017,Dominican Republic,Dominican Republic,70%,"2- B,S","few grits, sweet, cocoa",3.25
1936,Soul,Canada,2017,Ecuador,Ecuador,75%,"2- B,S","dry, floral, earthy",3.25
1936,Soul,Canada,2017,Papua New Guinea,Papua New Guinea,77%,"2- B,S","sandy, smokey, fruit, sour",3.25
1936,Soul,Canada,2017,Madagascar,Madagascar,70%,"2- B,S","tart, sour, basic",3.5
1936,Soul,Canada,2017,Venezuela,Venezuela,75%,"2- B,S","dry, earthy, roasty",3.5
1940,Soul,Canada,2017,Tanzania,Tanzania,80%,"2- B,S","sticky, mild fruit, brownie",3.5
2684,Spinnaker,U.S.A.,2021,Belize,"Maya Mountain, Toledo District, batch 12-1",70%,"2- B,S","strong roast, tart raspberry",3.25
2684,Spinnaker,U.S.A.,2021,Madagascar,"Bejofo, Akesson, batch 10-1",70%,"2- B,S","plum, roasty undertone, sour",3.5
2684,Spinnaker,U.S.A.,2021,Uganda,"Bundibugyo, Semuliki Forest, batch 9-1",70%,"2- B,S","dairy, cocoa, well balanced",3.5
1157,Sublime Origins,U.S.A.,2013,Madagascar,Sambirano,67%,"2- B,S","molasses, sour, astringent",2.75
1157,Sublime Origins,U.S.A.,2013,Belize,Moho Valley,78%,"2- B,S","intense, rich, dark berry",3.25
1618,Svenska Kakaobolaget,Sweden,2015,Sri Lanka,Sri Lanka,70%,"2- B,S","ham, sour, intense",2.75
2434,Svenska Kakaobolaget,Sweden,2019,Tanzania,"Kokoa Kamili, 2017 harvest",74%,"2- B,S","fruit, burnt, harsh",2.75
